cgpa,coding_score,aptitude_score,communication_score,skills_count,projects_count,internships_count,backlogs,placed
8.29,32,53,34,4,4,3,5,0
6.64,82,20,28,9,4,3,1,1
6.41,55,34,55,2,0,1,5,0
7.71,32,77,93,9,2,2,2,1
8.38,30,22,54,4,1,0,2,0
7.19,3,41,52,8,4,1,5,0
9.42,95,23,47,9,4,1,2,1
8.24,91,93,66,6,1,3,4,0
7.42,79,73,54,10,4,1,2,1
7.07,91,68,31,2,3,3,4,0
6.87,78,41,57,5,3,0,2,1
8.42,21,29,77,10,4,1,4,0
7.25,30,70,89,4,2,0,2,1
5.74,59,5,68,5,3,3,1,1
7.09,84,71,27,5,2,2,3,1
8.45,31,51,71,5,0,2,3,1
6.23,70,89,96,1,1,0,0,1
6.2,96,81,99,1,4,2,2,1
7.63,7,99,59,7,3,0,0,1
7.63,77,25,12,9,5,2,1,1
8.04,61,99,83,5,2,1,4,0
8.9,88,40,17,9,4,3,5,0
8.4,95,67,50,1,0,2,2,1
7.94,27,53,49,2,0,0,1,1
8.39,65,59,83,8,3,3,0,1
6.79,16,76,42,7,4,1,2,1
6.95,90,54,96,3,4,1,3,1
6.41,1,23,84,7,5,0,1,1
6.67,7,94,45,5,4,2,2,1
8.02,37,85,23,3,0,2,5,0
5.87,19,39,91,5,0,3,5,0
7.23,63,81,4,8,1,0,1,1
7.22,100,63,29,6,0,0,2,1
7.47,20,33,42,9,0,3,0,1
7.2,89,86,52,2,1,3,2,1
6.75,30,38,23,4,4,2,3,0
7.21,83,100,13,4,0,3,1,1
9.07,69,0,99,10,1,0,0,1
9.28,14,19,35,2,4,1,1,1
7.51,56,24,25,6,5,1,5,0
8.0,0,5,12,6,2,1,1,0
5.96,89,93,20,3,1,1,0,1
6.77,28,83,89,5,1,0,5,0
7.16,65,72,97,7,4,1,4,0
8.97,21,81,39,10,3,0,2,1
6.5,60,2,77,1,2,2,5,0
7.43,28,35,84,10,0,1,2,1
9.44,8,69,42,6,3,0,3,1
7.58,40,37,58,4,4,2,2,1
7.95,20,64,48,2,4,2,3,1
5.98,54,82,46,8,4,2,5,0
8.81,95,37,18,7,3,1,4,0
7.91,95,27,11,6,4,3,5,0
7.68,39,46,35,7,2,0,5,0
6.87,25,72,93,3,3,1,5,0
6.72,47,46,32,9,5,0,2,1
7.17,76,9,86,2,2,0,5,0
8.23,2,87,61,3,5,3,2,1
9.0,95,89,40,5,5,1,0,1
7.54,32,71,76,8,2,3,3,1
8.18,96,4,91,10,4,2,3,1
7.84,41,12,91,6,2,1,0,1
8.0,76,85,18,3,3,2,5,0
8.2,42,33,100,2,4,3,2,1
8.87,69,24,30,7,0,2,1,1
